Path (w/ version number), Path,  Groups,  Counts,  Rates (Hz)
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55_v13, HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55_v,  HIG SMP , 5, 257.4
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v14, HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v,  ALCA MUO SUS SMP B2G TOP EXO , 5, 257.4
HLT_DoubleMediumChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v11, HLT_DoubleMediumChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v,  TAU , 4, 205.92
HLT_DoubleTightChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_v11, HLT_DoubleTightChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_v,  TAU , 4, 205.92
HLT_DoubleTightChargedIsoPFTau35_Trk1_eta2p1_Reg_v11, HLT_DoubleTightChargedIsoPFTau35_Trk1_eta2p1_Reg_v,  TAU , 4, 205.92
HLT_Dimuon0_Jpsi3p5_Muon2_v5, HLT_Dimuon0_Jpsi3p5_Muon2_v,  BPH , 4, 205.92
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v13, HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v,  HIG EXO , 4, 205.92
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_v4, HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_v,  MUO SUS SMP TOP EXO , 4, 205.92
HLT_Mu55_v2, HLT_Mu55_v,  MUO , 4, 205.92
HLT_PFMET120_PFMHT120_IDTight_v19, HLT_PFMET120_PFMHT120_IDTight_v,  SUS HIG EXO B2G , 4, 205.92
HLT_PFMETTypeOne100_PFMHT100_IDTight_PFHT60_v8, HLT_PFMETTypeOne100_PFMHT100_IDTight_PFHT60_v,  SUS HIG EXO B2G , 4, 205.92
HLT_DoubleMu20_7_Mass0to30_L1_DM4EG_v7, HLT_DoubleMu20_7_Mass0to30_L1_DM4EG_v,  SMP BPH , 4, 205.92
HLT_Mu20_Mu10_v3, HLT_Mu20_Mu10_v,  HIG , 4, 205.92
HLT_DoubleMediumChargedIsoPFTau40_Trk1_eta2p1_Reg_v11, HLT_DoubleMediumChargedIsoPFTau40_Trk1_eta2p1_Reg_v,  TAU , 4, 205.92
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v19, HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v,  SUS HIG EXO B2G , 4, 205.92
HLT_Mu20_Mu10_DZ_v3, HLT_Mu20_Mu10_DZ_v,  HIG , 4, 205.92
HLT_DoubleMu4_JpsiTrk_Displaced_v14, HLT_DoubleMu4_JpsiTrk_Displaced_v,  BPH , 4, 205.92
HLT_PFMETTypeOne120_PFMHT120_IDTight_v11, HLT_PFMETTypeOne120_PFMHT120_IDTight_v,  SUS HIG EXO B2G , 4, 205.92
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v13, HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v,  HIG EXO , 4, 205.92
HLT_PFHT780_v16, HLT_PFHT780_v,  SUS , 4, 205.92
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v2, HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v,  MUO SUS , 3, 154.44
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass3p8_v2, HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass3p8_v,  MUO SUS , 3, 154.44
HLT_BTagMu_AK4DiJet20_Mu5_v12, HLT_BTagMu_AK4DiJet20_Mu5_v,  BTV , 3, 154.44
HLT_PFMETTypeOne200_HBHE_BeamHaloCleaned_v8, HLT_PFMETTypeOne200_HBHE_BeamHaloCleaned_v,  JME , 3, 154.44
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_v18, HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_v,  SUS HIG EXO B2G , 3, 154.44
HLT_Photon90_R9Id90_HE10_IsoM_v14, HLT_Photon90_R9Id90_HE10_IsoM_v,  SUS B2G , 3, 154.44
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_Charge1_v3, HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_Charge1_v,  BPH , 3, 154.44
HLT_DoubleTightChargedIsoPFTau40_Trk1_eta2p1_Reg_v11, HLT_DoubleTightChargedIsoPFTau40_Trk1_eta2p1_Reg_v,  TAU , 3, 154.44
HLT_Mu20_v11, HLT_Mu20_v,  SMP MUO , 3, 154.44
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v4, HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v,  EGM , 3, 154.44
HLT_PFMET200_NotCleaned_v8, HLT_PFMET200_NotCleaned_v,  SUS HIG , 3, 154.44
HLT_PFMETTypeOne130_PFMHT130_IDTight_v11, HLT_PFMETTypeOne130_PFMHT130_IDTight_v,  SUS HIG EXO B2G , 3, 154.44
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass8_v2, HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass8_v,  MUO SUS , 3, 154.44
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v2, HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v,  MUO SUS , 3, 154.44
HLT_Dimuon0_LowMass_v7, HLT_Dimuon0_LowMass_v,  BPH , 3, 154.44
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_v3, HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_v,  BPH , 3, 154.44
HLT_PFMET200_HBHECleaned_v8, HLT_PFMET200_HBHECleaned_v,  SUS HIG , 3, 154.44
HLT_PFJet400_v19, HLT_PFJet400_v,  SMP EXO , 3, 154.44
HLT_DoubleMu3_Trk_Tau3mu_v11, HLT_DoubleMu3_Trk_Tau3mu_v,  BPH , 3, 154.44
HLT_AK8PFJet400_v15, HLT_AK8PFJet400_v,  SMP , 3, 154.44
HLT_DoubleTightChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v11, HLT_DoubleTightChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v,  TAU , 3, 154.44
HLT_PFMET200_HBHE_BeamHaloCleaned_v8, HLT_PFMET200_HBHE_BeamHaloCleaned_v,  JME , 3, 154.44
HLT_PFMET130_PFMHT130_IDTight_v19, HLT_PFMET130_PFMHT130_IDTight_v,  SUS HIG EXO B2G , 3, 154.44
HLT_Photon150_v6, HLT_Photon150_v,  SMP EXO , 3, 154.44
HLT_TriplePhoton_35_35_5_CaloIdLV2_R9IdVL_v4, HLT_TriplePhoton_35_35_5_CaloIdLV2_R9IdVL_v,  SMP , 2, 102.96
HLT_PFHT890_v16, HLT_PFHT890_v,  SUS , 2, 102.96
HLT_DoubleEle27_CaloIdL_MW_v3, HLT_DoubleEle27_CaloIdL_MW_v,  EXO , 2, 102.96
HLT_Mu12_DoublePhoton20_v4, HLT_Mu12_DoublePhoton20_v,  SMP , 2, 102.96
HLT_Mu23_Mu12_v3, HLT_Mu23_Mu12_v,  HIG , 2, 102.96
HLT_Ele15_IsoVVVL_PFHT450_v15, HLT_Ele15_IsoVVVL_PFHT450_v,  SUS B2G , 2, 102.96
HLT_DiPFJetAve40_v13, HLT_DiPFJetAve40_v,  JME SMP , 2, 102.96
HLT_DoublePhoton70_v6, HLT_DoublePhoton70_v,  EXO , 2, 102.96
HLT_MediumChargedIsoPFTau180HighPtRelaxedIso_Trk50_eta2p1_v11, HLT_MediumChargedIsoPFTau180HighPtRelaxedIso_Trk50_eta2p1_v,  TAU HIG EXO , 2, 102.96
HLT_DoubleEle25_CaloIdL_MW_v3, HLT_DoubleEle25_CaloIdL_MW_v,  EXO , 2, 102.96
HLT_DoubleEle33_CaloIdL_MW_v16, HLT_DoubleEle33_CaloIdL_MW_v,  EXO , 2, 102.96
HLT_Mu18_Mu9_SameSign_v3, HLT_Mu18_Mu9_SameSign_v,  HIG , 2, 102.96
HLT_PFMETTypeOne140_PFMHT140_IDTight_v10, HLT_PFMETTypeOne140_PFMHT140_IDTight_v,  SUS HIG EXO B2G , 2, 102.96
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v12, HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v,  HIG SUS SMP B2G TOP EXO , 2, 102.96
HLT_AK8PFJet360_TrimMass30_v17, HLT_AK8PFJet360_TrimMass30_v,  B2G EXO , 2, 102.96
HLT_AK8PFJet60_v14, HLT_AK8PFJet60_v,  SMP , 2, 102.96
HLT_Mu23_Mu12_DZ_v3, HLT_Mu23_Mu12_DZ_v,  HIG , 2, 102.96
HLT_Ele27_Ele37_CaloIdL_MW_v3, HLT_Ele27_Ele37_CaloIdL_MW_v,  B2G , 2, 102.96
HLT_Photon33_v5, HLT_Photon33_v,  EXO SMP , 1, 51.48
HLT_CaloMET350_HBHECleaned_v4, HLT_CaloMET350_HBHECleaned_v,  SUS HIG , 1, 51.48
HLT_PFJet80_v19, HLT_PFJet80_v,  SMP EXO , 1, 51.48
HLT_PFHT370_v16, HLT_PFHT370_v,  SUS , 1, 51.48
HLT_PFJet450_v20, HLT_PFJet450_v,  SMP EXO , 1, 51.48
HLT_PFMETNoMu100_PFMHTNoMu100_IDTight_PFHT60_v8, HLT_PFMETNoMu100_PFMHTNoMu100_IDTight_PFHT60_v,  SUS HIG EXO B2G , 1, 51.48
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_CrossL1_v11, HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_CrossL1_v,  TAU HIG SUS , 1, 51.48
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v3, HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v,  BPH , 1, 51.48
HLT_IsoMu24_eta2p1_TightChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v11, HLT_IsoMu24_eta2p1_TightChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v,  TAU HIG SUS , 1, 51.48
HLT_IsoMu20_eta2p1_LooseChargedIsoPFTau27_eta2p1_TightID_CrossL1_v11, HLT_IsoMu20_eta2p1_LooseChargedIsoPFTau27_eta2p1_TightID_CrossL1_v,  TAU HIG SUS , 1, 51.48
HLT_PFHT430_SixPFJet40_v10, HLT_PFHT430_SixPFJet40_v,  TOP , 1, 51.48
HLT_CaloMET250_HBHECleaned_v4, HLT_CaloMET250_HBHECleaned_v,  SUS HIG , 1, 51.48
HLT_AK8PFJet500_v15, HLT_AK8PFJet500_v,  SMP B2G EXO , 1, 51.48
HLT_Photon50_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_PFMET50_v4, HLT_Photon50_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_PFMET50_v,  EXO , 1, 51.48
HLT_IsoMu20_v14, HLT_IsoMu20_v,  ALCA SMP MUO , 1, 51.48
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6, HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v,  TOP SUS SMP EXO , 1, 51.48
HLT_PFMET120_PFMHT120_IDTight_PFHT60_v8, HLT_PFMET120_PFMHT120_IDTight_PFHT60_v,  SUS HIG EXO B2G , 1, 51.48
HLT_AK8PFJet400_TrimMass30_v11, HLT_AK8PFJet400_TrimMass30_v,  B2G EXO , 1, 51.48
HLT_TriplePhoton_30_30_10_CaloIdLV2_R9IdVL_v4, HLT_TriplePhoton_30_30_10_CaloIdLV2_R9IdVL_v,  SMP , 1, 51.48
HLT_IsoMu20_eta2p1_TightChargedIsoPFTau27_eta2p1_CrossL1_v11, HLT_IsoMu20_eta2p1_TightChargedIsoPFTau27_eta2p1_CrossL1_v,  TAU HIG SUS , 1, 51.48
HLT_PFHT1050_v17, HLT_PFHT1050_v,  SUS EXO , 1, 51.48
HLT_MonoCentralPFJet80_PFMETNoMu120_PFMHTNoMu120_IDTight_v19, HLT_MonoCentralPFJet80_PFMETNoMu120_PFMHTNoMu120_IDTight_v,  EXO SUS , 1, 51.48
HLT_PFMET300_HBHECleaned_v8, HLT_PFMET300_HBHECleaned_v,  SUS HIG EXO , 1, 51.48
HLT_Ele50_IsoVVVL_PFHT450_v15, HLT_Ele50_IsoVVVL_PFHT450_v,  SUS , 1, 51.48
HLT_AK8PFJet380_TrimMass30_v10, HLT_AK8PFJet380_TrimMass30_v,  B2G EXO , 1, 51.48
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v3, HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v,  BPH , 1, 51.48
HLT_MonoCentralPFJet80_PFMETNoMu140_PFMHTNoMu140_IDTight_v18, HLT_MonoCentralPFJet80_PFMETNoMu140_PFMHTNoMu140_IDTight_v,  EXO SUS , 1, 51.48
HLT_IsoMu20_eta2p1_LooseChargedIsoPFTau27_eta2p1_CrossL1_v11, HLT_IsoMu20_eta2p1_LooseChargedIsoPFTau27_eta2p1_CrossL1_v,  TAU HIG SUS , 1, 51.48
HLT_DiPFJetAve400_v13, HLT_DiPFJetAve400_v,  JME SMP , 1, 51.48
HLT_PFMETTypeOne120_PFMHT120_IDTight_PFHT60_v8, HLT_PFMETTypeOne120_PFMHT120_IDTight_PFHT60_v,  SUS HIG EXO B2G , 1, 51.48
HLT_PFMET250_HBHECleaned_v8, HLT_PFMET250_HBHECleaned_v,  SUS HIG EXO , 1, 51.48
HLT_AK8PFJet450_v15, HLT_AK8PFJet450_v,  SMP B2G , 1, 51.48
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v8, HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v,  HIG SMP EXO , 1, 51.48
HLT_TkMu100_v2, HLT_TkMu100_v,  MUO , 1, 51.48
HLT_HT400_DisplacedDijet40_DisplacedTrack_v12, HLT_HT400_DisplacedDijet40_DisplacedTrack_v,  EXO , 1, 51.48
HLT_Mu20_Mu10_SameSign_DZ_v3, HLT_Mu20_Mu10_SameSign_DZ_v,  HIG , 1, 51.48
HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v7, HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v,  TOP , 1, 51.48
HLT_AK8PFJetFwd140_v13, HLT_AK8PFJetFwd140_v,  SMP , 1, 51.48
HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v8, HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v,  TOP , 1, 51.48
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v11, HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v,  TAU HIG SUS , 1, 51.48
HLT_PFJetFwd40_v18, HLT_PFJetFwd40_v,  SMP , 1, 51.48
HLT_DoublePhoton85_v14, HLT_DoublePhoton85_v,  EXO , 1, 51.48
HLT_Mu20_Mu10_SameSign_v3, HLT_Mu20_Mu10_SameSign_v,  HIG , 1, 51.48
HLT_Dimuon0_LowMass_L1_4_v7, HLT_Dimuon0_LowMass_L1_4_v,  BPH , 1, 51.48
HLT_Photon120_R9Id90_HE10_IsoM_v14, HLT_Photon120_R9Id90_HE10_IsoM_v,  SUS B2G , 1, 51.48
HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v14, HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v,  SUS , 1, 51.48
HLT_CaloJet500_NoJetID_v12, HLT_CaloJet500_NoJetID_v,  EXO , 1, 51.48
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v18, HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v,  HIG SUS SMP TOP EXO , 1, 51.48
HLT_IsoMu20_eta2p1_MediumChargedIsoPFTau27_eta2p1_TightID_CrossL1_v11, HLT_IsoMu20_eta2p1_MediumChargedIsoPFTau27_eta2p1_TightID_CrossL1_v,  TAU HIG SUS , 1, 51.48
HLT_DoubleMu4_3_Bs_v13, HLT_DoubleMu4_3_Bs_v,  BPH , 1, 51.48
HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v6, HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v,  BPH , 1, 51.48
HLT_PFMET100_PFMHT100_IDTight_PFHT60_v8, HLT_PFMET100_PFMHT100_IDTight_PFHT60_v,  SUS HIG EXO B2G , 1, 51.48
HLT_Ele28_eta2p1_WPTight_Gsf_HT150_v12, HLT_Ele28_eta2p1_WPTight_Gsf_HT150_v,  TOP , 1, 51.48
HLT_TriplePhoton_30_30_10_CaloIdLV2_v4, HLT_TriplePhoton_30_30_10_CaloIdLV2_v,  SMP , 1, 51.48
HLT_CaloMET250_NotCleaned_v4, HLT_CaloMET250_NotCleaned_v,  SUS HIG , 1, 51.48
HLT_Ele15_IsoVVVL_PFHT450_PFMET50_v15, HLT_Ele15_IsoVVVL_PFHT450_PFMET50_v,  SUS , 1, 51.48
