Dataset,  Counts,  Rates (Hz)
SingleMuon, 1417, 607.89
JetHTMHTBTagCSV, 360, 154.44
EG, 259, 111.11
MET, 147, 63.06
Charmonium, 85, 36.47
DisplacedJet, 70, 30.03
DoubleMuon, 21, 9.01
MuOnia, 21, 9.01
MuonEG, 11, 4.72
DoubleMuonLowMass, 10, 4.29
Tau, 7, 3.0
BTagMu, 3, 1.29
