Path (w/ version number), Path,  Groups,  Counts,  Rates (Hz)
DST_DoubleMu3_noVtx_CaloScouting_Monitoring_v6, DST_DoubleMu3_noVtx_CaloScouting_Monitoring_v,  EXO , 401, 20643.5
Total Scouting, Total Scouting,  , 401, 20643.5
