#Data tag : v2 , Norm tag: onlineresult
+-------------+---------+-------------------+--------------+--------+----------------------+---------------------+-------+--------+
| run:fill    | ls      | time              | beamstatus   | E(GeV) | delivered(1e33/cm2s) | recorded(1e33/cm2s) | avgpu | source |
+-------------+---------+-------------------+--------------+--------+----------------------+---------------------+-------+--------+
#Summary: 
+-------+------+-----+------+-------------------------+------------------------+
| nfill | nrun | nls | ncms | totdelivered(1e33/cm2s) | totrecorded(1e33/cm2s) |
+-------+------+-----+------+-------------------------+------------------------+
| 1     | 1    | 209 | 209  | 3411.015                | 3281.559               |
+-------+------+-----+------+-------------------------+------------------------+

#Check JSON:
#(run,ls) in json but not in results: []
