Path, Groups, Counts, Rates (Hz)
HLT_DiPFJetAve300_HFJEC_v15, JME SMP , 0, 0
HLT_AK8PFJet40_v15, SMP , 109, 109
HLT_AK8PFJet60_v14, SMP , 2, 2
HLT_AK8PFJet80_v14, SMP , 0, 0
HLT_AK8PFJet140_v14, SMP , 0, 0
HLT_AK8PFJet200_v14, SMP , 0, 0
HLT_AK8PFJet260_v15, SMP , 34, 34
HLT_AK8PFJet320_v15, SMP , 12, 12
HLT_AK8PFJet400_v15, SMP , 3, 3
HLT_AK8PFJet450_v15, SMP B2G , 1, 1
HLT_AK8PFJet500_v15, SMP B2G EXO , 1, 1
HLT_AK8PFJet550_v10, SMP EXO , 0, 0
HLT_PFJet40_v20, SMP EXO , 5, 5
HLT_PFJet60_v20, SMP EXO , 0, 0
HLT_PFJet80_v19, SMP EXO , 1, 1
HLT_PFJet140_v18, SMP EXO , 0, 0
HLT_PFJet200_v18, SMP EXO , 0, 0
HLT_PFJet260_v19, SMP EXO , 29, 29
HLT_PFJet320_v19, SMP EXO , 9, 9
HLT_PFJet400_v19, SMP EXO , 3, 3
HLT_PFJet450_v20, SMP EXO , 1, 1
HLT_PFJet500_v20, SMP EXO , 1, 1
HLT_PFJet550_v10, SMP EXO , 0, 0
HLT_PFJetFwd40_v18, SMP , 1, 1
HLT_PFJetFwd60_v18, SMP , 0, 0
HLT_PFJetFwd80_v17, SMP , 0, 0
HLT_PFJetFwd140_v17, SMP , 0, 0
HLT_PFJetFwd200_v17, SMP , 0, 0
HLT_PFJetFwd260_v18, SMP , 0, 0
HLT_PFJetFwd320_v18, SMP , 0, 0
HLT_PFJetFwd400_v18, SMP , 0, 0
HLT_PFJetFwd450_v18, SMP , 0, 0
HLT_PFJetFwd500_v18, SMP , 0, 0
HLT_AK8PFJetFwd40_v14, SMP , 97, 97
HLT_AK8PFJetFwd60_v13, SMP , 0, 0
HLT_AK8PFJetFwd80_v13, SMP , 0, 0
HLT_AK8PFJetFwd140_v13, SMP , 1, 1
HLT_AK8PFJetFwd200_v13, SMP , 0, 0
HLT_AK8PFJetFwd260_v14, SMP , 0, 0
HLT_AK8PFJetFwd320_v14, SMP , 0, 0
HLT_AK8PFJetFwd400_v14, SMP , 0, 0
HLT_AK8PFJetFwd450_v14, SMP , 0, 0
HLT_AK8PFJetFwd500_v14, SMP , 0, 0
HLT_PFHT180_v16, SUS , 0, 0
HLT_PFHT250_v16, SUS , 0, 0
HLT_PFHT370_v16, SUS , 1, 1
HLT_PFHT430_v16, SUS , 0, 0
HLT_PFHT510_v16, SUS , 34, 34
HLT_PFHT590_v16, SUS , 18, 18
HLT_PFHT680_v16, SUS , 6, 6
HLT_PFHT780_v16, SUS , 4, 4
HLT_PFHT890_v16, SUS , 2, 2
HLT_PFHT1050_v17, SUS EXO , 1, 1
HLT_PFHT500_PFMET100_PFMHT100_IDTight_v11, SUS EXO , 0, 0
HLT_PFHT500_PFMET110_PFMHT110_IDTight_v11, SUS EXO , 0, 0
HLT_PFHT700_PFMET85_PFMHT85_IDTight_v11, SUS EXO , 0, 0
HLT_PFHT700_PFMET95_PFMHT95_IDTight_v11, SUS EXO , 0, 0
HLT_PFHT800_PFMET75_PFMHT75_IDTight_v11, SUS EXO , 0, 0
HLT_PFHT800_PFMET85_PFMHT85_IDTight_v11, SUS EXO , 0, 0
HLT_PFMET110_PFMHT110_IDTight_v19, SUS HIG EXO B2G , 5, 5
HLT_PFMET120_PFMHT120_IDTight_v19, SUS HIG EXO B2G , 4, 4
HLT_PFMET130_PFMHT130_IDTight_v19, SUS HIG EXO B2G , 3, 3
HLT_PFMET140_PFMHT140_IDTight_v19, SUS HIG EXO B2G , 1, 1
HLT_PFMET120_PFMHT120_IDTight_PFHT60_v8, SUS HIG EXO B2G , 1, 1
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60_v8, SUS HIG EXO B2G , 1, 1
HLT_PFMETTypeOne120_PFMHT120_IDTight_PFHT60_v8, SUS HIG EXO B2G , 1, 1
HLT_PFMETTypeOne110_PFMHT110_IDTight_v11, SUS HIG EXO B2G , 5, 5
HLT_PFMETTypeOne120_PFMHT120_IDTight_v11, SUS HIG EXO B2G , 4, 4
HLT_PFMETTypeOne130_PFMHT130_IDTight_v11, SUS HIG EXO B2G , 3, 3
HLT_PFMETTypeOne140_PFMHT140_IDTight_v10, SUS HIG EXO B2G , 2, 2
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_v19, SUS HIG EXO B2G , 5, 5
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v19, SUS HIG EXO B2G , 4, 4
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_v18, SUS HIG EXO B2G , 3, 3
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_v18, SUS HIG EXO B2G , 1, 1
HLT_MonoCentralPFJet80_PFMETNoMu110_PFMHTNoMu110_IDTight_v19, EXO SUS , 1, 1
HLT_MonoCentralPFJet80_PFMETNoMu120_PFMHTNoMu120_IDTight_v19, EXO SUS , 1, 1
HLT_MonoCentralPFJet80_PFMETNoMu130_PFMHTNoMu130_IDTight_v18, EXO SUS , 1, 1
HLT_MonoCentralPFJet80_PFMETNoMu140_PFMHTNoMu140_IDTight_v18, EXO SUS , 1, 1
HLT_L1ETMHadSeeds_v2, JME , 144, 144
HLT_CaloMHT90_v4, JME , 21, 21
HLT_CaloMET80_NotCleaned_v4, JME , 18, 18
HLT_CaloMET90_NotCleaned_v4, JME , 15, 15
HLT_CaloMET100_NotCleaned_v4, JME , 14, 14
HLT_CaloMET110_NotCleaned_v4, JME , 10, 10
HLT_CaloMET250_NotCleaned_v4, SUS HIG , 1, 1
HLT_CaloMET70_HBHECleaned_v4, JME , 18, 18
HLT_CaloMET80_HBHECleaned_v4, JME , 15, 15
HLT_CaloMET90_HBHECleaned_v4, JME , 14, 14
HLT_CaloMET100_HBHECleaned_v4, JME , 10, 10
HLT_CaloMET250_HBHECleaned_v4, SUS HIG , 1, 1
HLT_CaloMET300_HBHECleaned_v4, SUS HIG , 1, 1
HLT_CaloMET350_HBHECleaned_v4, SUS HIG , 1, 1
HLT_PFMET200_NotCleaned_v8, SUS HIG , 3, 3
HLT_PFMET200_HBHECleaned_v8, SUS HIG , 3, 3
HLT_PFMET250_HBHECleaned_v8, SUS HIG EXO , 1, 1
HLT_PFMET300_HBHECleaned_v8, SUS HIG EXO , 1, 1
HLT_PFMET200_HBHE_BeamHaloCleaned_v8, JME , 3, 3
HLT_PFMETTypeOne200_HBHE_BeamHaloCleaned_v8, JME , 3, 3
HLT_MET105_IsoTrk50_v9, EXO , 0, 0
HLT_MET120_IsoTrk50_v9, EXO , 0, 0
HLT_SingleJet30_Mu12_SinglePFJet40_v10, HIG , 0, 0
HLT_Photon300_NoHE_v12, HIG EXO , 0, 0
HLT_Mu8_TrkIsoVVL_v11, MUO SUS SMP , 13, 13
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_DZ_v17, HIG SUS SMP EXO , 0, 0
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v17, HIG SUS SMP , 0, 0
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_DZ_v18, SUS , 0, 0
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_v18, SUS , 0, 0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v12, HIG SUS SMP B2G TOP EXO , 2, 2
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v10, HIG SUS SMP B2G TOP EXO , 5, 5
HLT_Mu17_TrkIsoVVL_v12, MUO SUS SMP , 0, 0
HLT_Mu19_TrkIsoVVL_v3, MUO , 0, 0
HLT_BTagMu_AK4DiJet20_Mu5_v12, BTV , 3, 3
HLT_BTagMu_AK4DiJet40_Mu5_v12, BTV , 0, 0
HLT_BTagMu_AK4DiJet70_Mu5_v12, BTV , 0, 0
HLT_BTagMu_AK4DiJet110_Mu5_v12, BTV , 0, 0
HLT_BTagMu_AK4DiJet170_Mu5_v11, BTV , 0, 0
HLT_BTagMu_AK4Jet300_Mu5_v11, BTV , 0, 0
HLT_BTagMu_AK8DiJet170_Mu5_v8, BTV , 0, 0
HLT_BTagMu_AK8Jet300_Mu5_v11, BTV , 0, 0
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v18, ALCA HIG SUS SMP B2G TOP EXO , 1, 1
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v18, HIG SUS SMP TOP EXO , 1, 1
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v14, TOP SUS SMP B2G EXO , 0, 0
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v6, TOP SUS SMP B2G EXO , 0, 0
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6, TOP SUS SMP EXO , 1, 1
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v14, TOP SUS SMP EXO , 0, 0
HLT_Mu12_DoublePhoton20_v4, SMP , 2, 2
HLT_TriplePhoton_20_20_20_CaloIdLV2_v3, SMP , 0, 0
HLT_TriplePhoton_20_20_20_CaloIdLV2_R9IdVL_v3, SMP , 0, 0
HLT_TriplePhoton_30_30_10_CaloIdLV2_v4, SMP , 1, 1
HLT_TriplePhoton_30_30_10_CaloIdLV2_R9IdVL_v4, SMP , 1, 1
HLT_TriplePhoton_35_35_5_CaloIdLV2_R9IdVL_v4, SMP , 2, 2
HLT_Photon33_v5, EXO SMP , 1, 1
HLT_Photon50_v13, EXO , 197, 197
HLT_Photon75_v13, SMP , 40, 40
HLT_Photon90_v13, SMP EXO , 18, 18
HLT_Photon120_v13, SMP EXO , 6, 6
HLT_Photon150_v6, SMP EXO , 3, 3
HLT_Photon175_v14, SMP SUS EXO , 0, 0
HLT_Photon200_v13, SMP EXO , 0, 0
HLT_Photon50_R9Id90_HE10_IsoM_v14, SUS B2G , 31, 31
HLT_Photon75_R9Id90_HE10_IsoM_v14, SUS B2G , 7, 7
HLT_Photon90_R9Id90_HE10_IsoM_v14, SUS B2G , 3, 3
HLT_Photon120_R9Id90_HE10_IsoM_v14, SUS B2G , 1, 1
HLT_Photon165_R9Id90_HE10_IsoM_v15, SUS , 0, 0
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v13, HIG EXO , 4, 4
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v13, HIG EXO , 4, 4
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_PixelVeto_Mass55_v14, HIG SMP , 1, 1
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55_v13, HIG SMP , 5, 5
HLT_Dimuon0_Jpsi_L1_NoOS_v6, BPH , 0, 0
HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v6, BPH , 1, 1
HLT_Dimuon0_Jpsi_v7, BPH , 0, 0
HLT_Dimuon0_Jpsi_NoVertexing_v7, BPH , 0, 0
HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v6, BPH , 31, 31
HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v6, BPH , 35, 35
HLT_Dimuon0_Jpsi3p5_Muon2_v5, BPH , 4, 4
HLT_Dimuon0_Upsilon_L1_4p5_v8, BPH , 0, 0
HLT_Dimuon0_Upsilon_L1_5_v8, BPH , 0, 0
HLT_Dimuon0_Upsilon_L1_4p5NoOS_v7, BPH , 0, 0
HLT_Dimuon0_Upsilon_L1_4p5er2p0_v8, BPH , 0, 0
HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v6, BPH , 15, 15
HLT_Dimuon0_Upsilon_NoVertexing_v6, BPH , 20, 20
HLT_Dimuon0_Upsilon_L1_5M_v7, BPH , 15, 15
HLT_Dimuon0_LowMass_L1_0er1p5R_v6, BPH , 53, 53
HLT_Dimuon0_LowMass_L1_0er1p5_v7, BPH , 1, 1
HLT_Dimuon0_LowMass_v7, BPH , 3, 3
HLT_Dimuon0_LowMass_L1_4_v7, BPH , 1, 1
HLT_Dimuon0_LowMass_L1_4R_v6, BPH , 64, 64
HLT_Dimuon0_LowMass_L1_TM530_v5, BPH , 1, 1
HLT_Dimuon0_Upsilon_Muon_L1_TM0_v5, BPH , 0, 0
HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v5, BPH , 0, 0
HLT_TripleMu_10_5_5_DZ_v9, SUS SMP , 0, 0
HLT_TripleMu_12_10_5_v9, SUS SMP , 0, 0
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_v3, BPH , 3, 3
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_Charge1_v3, BPH , 3, 3
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v3, BPH , 1, 1
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v3, BPH , 1, 1
HLT_DoubleMu3_DZ_PFMET50_PFMHT60_v9, SUS , 0, 0
HLT_DoubleMu3_DZ_PFMET70_PFMHT70_v9, SUS , 0, 0
HLT_DoubleMu3_DZ_PFMET90_PFMHT90_v9, SUS , 0, 0
HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass_v5, BPH , 0, 0
HLT_DoubleMu4_Jpsi_Displaced_v6, BPH , 7, 7
HLT_DoubleMu4_Jpsi_NoVertexing_v6, BPH , 25, 25
HLT_DoubleMu4_JpsiTrkTrk_Displaced_v6, BPH , 5, 5
HLT_DoubleMu43NoFiltersNoVtx_v4, EXO , 0, 0
HLT_DoubleMu48NoFiltersNoVtx_v4, EXO , 0, 0
HLT_Mu43NoFiltersNoVtx_Photon43_CaloIdL_v5, EXO , 0, 0
HLT_Mu48NoFiltersNoVtx_Photon48_CaloIdL_v5, EXO , 0, 0
HLT_DoubleMu20_7_Mass0to30_L1_DM4_v6, SMP BPH , 0, 0
HLT_DoubleMu20_7_Mass0to30_L1_DM4EG_v7, SMP BPH , 4, 4
HLT_HT425_v9, EXO , 69, 69
HLT_HT430_DisplacedDijet40_DisplacedTrack_v12, EXO , 0, 0
HLT_HT430_DisplacedDijet60_DisplacedTrack_v12, EXO , 0, 0
HLT_HT400_DisplacedDijet40_DisplacedTrack_v12, EXO , 1, 1
HLT_HT650_DisplacedDijet60_Inclusive_v12, EXO , 0, 0
HLT_HT550_DisplacedDijet60_Inclusive_v12, EXO , 0, 0
HLT_DiJet110_35_Mjj650_PFMET110_v8, HIG , 0, 0
HLT_DiJet110_35_Mjj650_PFMET120_v8, HIG , 0, 0
HLT_DiJet110_35_Mjj650_PFMET130_v8, HIG , 0, 0
HLT_TripleJet110_35_35_Mjj650_PFMET110_v8, HIG , 0, 0
HLT_TripleJet110_35_35_Mjj650_PFMET120_v8, HIG , 0, 0
HLT_TripleJet110_35_35_Mjj650_PFMET130_v8, HIG , 0, 0
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v12, TOP , 9, 9
HLT_Ele28_eta2p1_WPTight_Gsf_HT150_v12, TOP , 1, 1
HLT_Ele28_HighEta_SC20_Mass55_v12, ALCA ECAL , 0, 0
HLT_DoubleMu20_7_Mass0to30_Photon23_v7, SMP BPH , 0, 0
HLT_Ele15_IsoVVVL_PFHT450_PFMET50_v15, SUS , 1, 1
HLT_Ele15_IsoVVVL_PFHT450_v15, SUS B2G , 2, 2
HLT_Ele50_IsoVVVL_PFHT450_v15, SUS , 1, 1
HLT_Ele15_IsoVVVL_PFHT600_v19, SUS B2G , 0, 0
HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v14, SUS , 1, 1
HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60_v13, SUS , 0, 0
HLT_Mu15_IsoVVVL_PFHT450_PFMET50_v14, SUS , 0, 0
HLT_Mu15_IsoVVVL_PFHT450_v14, SUS B2G , 0, 0
HLT_Mu50_IsoVVVL_PFHT450_v14, SUS , 0, 0
HLT_Mu15_IsoVVVL_PFHT600_v18, SUS B2G , 0, 0
HLT_Dimuon10_PsiPrime_Barrel_Seagulls_v6, BPH , 0, 0
HLT_Dimuon20_Jpsi_Barrel_Seagulls_v6, BPH , 0, 0
HLT_Dimuon14_Phi_Barrel_Seagulls_v6, BPH , 1, 1
HLT_Dimuon18_PsiPrime_v13, BPH , 0, 0
HLT_Dimuon25_Jpsi_v13, BPH , 0, 0
HLT_Dimuon18_PsiPrime_noCorrL1_v5, BPH , 0, 0
HLT_Dimuon24_Upsilon_noCorrL1_v5, BPH , 0, 0
HLT_Dimuon24_Phi_noCorrL1_v5, BPH , 0, 0
HLT_Dimuon25_Jpsi_noCorrL1_v5, BPH , 0, 0
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ_v16, SUS HIG SMP EXO , 0, 0
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v16, SUS HIG SMP , 0, 0
HLT_TrkMu12_DoubleTrkMu5NoFiltersNoVtx_v6, EXO , 0, 0
HLT_TrkMu16_DoubleTrkMu6NoFiltersNoVtx_v12, EXO , 0, 0
HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v13, EXO , 0, 0
HLT_Mu8_v11, MUO SUS , 13, 13
HLT_Mu17_v12, MUO SUS SMP , 0, 0
HLT_Mu19_v3, MUO , 0, 0
HLT_Mu17_Photon30_IsoCaloId_v5, SUS , 0, 0
HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v15, SUS , 0, 0
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v17, SUS , 0, 0
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v17, SUS , 0, 0
HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v17, SUS , 0, 0
HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v15, SUS , 0, 0
HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v17, SUS , 0, 0
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v17, B2G , 1, 1
HLT_Ele115_CaloIdVT_GsfTrkIdT_v13, EXO B2G , 0, 0
HLT_Ele135_CaloIdVT_GsfTrkIdT_v6, EXO B2G , 0, 0
HLT_Ele145_CaloIdVT_GsfTrkIdT_v7, EXO B2G , 0, 0
HLT_Ele200_CaloIdVT_GsfTrkIdT_v7, EXO B2G , 0, 0
HLT_Ele250_CaloIdVT_GsfTrkIdT_v12, EXO B2G , 0, 0
HLT_Ele300_CaloIdVT_GsfTrkIdT_v12, EXO B2G , 0, 0
HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v7, TOP , 1, 1
HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v8, TOP , 1, 1
HLT_PFHT380_SixPFJet32_v8, TOP , 9, 9
HLT_PFHT430_SixPFJet40_v10, TOP , 1, 1
HLT_PFHT350_v18, TOP , 161, 161
HLT_PFHT350MinPFJet15_v8, EXO , 202, 202
HLT_Photon60_R9Id90_CaloIdL_IsoL_v5, EXO , 18, 18
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_v5, EXO , 14, 14
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350MinPFJet15_v10, EXO , 0, 0
HLT_ECALHT800_v10, EXO , 0, 0
HLT_DiSC30_18_EIso_AND_HE_Mass70_v13, EGM , 31, 31
HLT_Photon20_HoverELoose_v10, SMP , 0, 0
HLT_Photon30_HoverELoose_v10, SMP , 0, 0
HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTau30_eta2p1_CrossL1_v12, TAU HIG SUS EXO , 0, 0
