Path, Groups, Counts, Rates (Hz)
HLT_IsoMu27_TightChargedIsoPFTau20_Trk1_eta2p1_SingleL1_v4, , 2, 2
HLT_IsoMu27_MET90_v2, , 0, 0
HLT_IsoMu20_eta2p1_LooseChargedIsoPFTauHPS27_eta2p1_CrossL1_v2, , 0, 0
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg_CrossL1_v2, , 0, 0
HLT_DoubleMediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg_v2, , 2, 2
HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05_v5, , 4, 4
HLT_TripleMu_5_3_3_Mass3p8_DCA_v2, , 0, 0
HLT_QuadPFJet98_83_71_15_DoublePFBTagDeepCSV_1p3_7p7_VBF1_v7, , 3, 3
HLT_QuadPFJet103_88_75_15_DoublePFBTagDeepCSV_1p3_7p7_VBF1_v7, , 3, 3
HLT_QuadPFJet105_90_76_15_DoublePFBTagDeepCSV_1p3_7p7_VBF1_v7, , 3, 3
HLT_QuadPFJet111_90_80_15_DoublePFBTagDeepCSV_1p3_7p7_VBF1_v7, , 1, 1
HLT_QuadPFJet98_83_71_15_PFBTagDeepCSV_1p3_VBF2_v7, , 4, 4
HLT_QuadPFJet103_88_75_15_PFBTagDeepCSV_1p3_VBF2_v7, , 3, 3
HLT_QuadPFJet105_88_76_15_PFBTagDeepCSV_1p3_VBF2_v7, , 3, 3
HLT_QuadPFJet111_90_80_15_PFBTagDeepCSV_1p3_VBF2_v7, , 1, 1
HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p17_v1, , 2, 2
HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p1_v1, , 1, 1
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_p02_v2, , 2, 2
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1, , 5, 5
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np4_v1, , 5, 5
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_Mass55_v1, , 3, 3
HLT_Mu8p5_IP3p5_part0_v1, , 132, 132
HLT_Mu8p5_IP3p5_part1_v1, , 132, 132
HLT_Mu8p5_IP3p5_part2_v1, , 132, 132
HLT_Mu8p5_IP3p5_part3_v1, , 132, 132
HLT_Mu8p5_IP3p5_part4_v1, , 132, 132
HLT_Mu8p5_IP3p5_part5_v1, , 132, 132
HLT_Mu10p5_IP3p5_part0_v1, , 117, 117
HLT_Mu10p5_IP3p5_part1_v1, , 117, 117
HLT_Mu10p5_IP3p5_part2_v1, , 117, 117
HLT_Mu10p5_IP3p5_part3_v1, , 117, 117
HLT_Mu10p5_IP3p5_part4_v1, , 117, 117
HLT_Mu10p5_IP3p5_part5_v1, , 117, 117
HLT_Mu9_IP6_part0_v1, , 76, 76
HLT_Mu9_IP6_part1_v1, , 76, 76
HLT_Mu9_IP6_part2_v1, , 76, 76
HLT_Mu9_IP6_part3_v1, , 76, 76
HLT_Mu9_IP6_part4_v1, , 76, 76
HLT_Mu9_IP6_part5_v1, , 76, 76
HLT_Mu8_IP3_part0_v1, , 161, 161
HLT_Mu8_IP3_part1_v1, , 161, 161
HLT_Mu8_IP3_part2_v1, , 161, 161
HLT_Mu8_IP3_part3_v1, , 161, 161
HLT_Mu8_IP3_part4_v1, , 161, 161
HLT_Mu8_IP3_part5_v1, , 161, 161
