Dataset, Counts, Rates (Hz)
JetHTMHTBTagCSV, 360, 360
MuOnia, 21, 21
EG, 259, 259
MuonEG, 11, 11
DoubleMuon, 21, 21
Charmonium, 85, 85
DoubleMuonLowMass, 10, 10
SingleMuon, 1417, 1417
MET, 147, 147
BTagMu, 3, 3
DisplacedJet, 70, 70
Tau, 7, 7
