Dataset, Counts, Rates (Hz)
JetHT, 360, 360
MuOnia, 21, 21
DoubleEG, 38, 38
MuonEG, 11, 11
DoubleMuon, 21, 21
Charmonium, 85, 85
DoubleMuonLowMass, 10, 10
SingleMuon, 1417, 1417
SingleElectron, 50, 50
HTMHT, 0, 0
MET, 147, 147
BTagCSV, 0, 0
SinglePhoton, 198, 198
BTagMu, 3, 3
DisplacedJet, 70, 70
Tau, 7, 7
